2015-07-08 00:48:53,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:49:03,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:49:13,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:49:23,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:49:33,517 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:49:43,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:49:53,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:50:03,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:50:13,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:50:23,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:50:33,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:50:43,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:50:53,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:51:03,518 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:51:13,519 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:51:23,519 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:51:33,519 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:51:43,519 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
